"subject","question","correct_response","response","trial_index"
"7936","136","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I was only able to get [0, 3, 6] for results when using a 6(+9)6 formula, adding on an additional (+9)6 each time. So no, 6 is not a generator.",63
"7991","137","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. It cannot be used to make all other numbers.",60
"7992","137","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. It can be used to make all other numbers.",61
"7993","137","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, it can be used to make all other numbers.",62
"7994","137","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, it cannot be used to make all other numbers.",63
"8049","138","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes",60
"8050","138","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no",61
"8051","138","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes",62
"8052","138","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no",63
"8107","139","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, 2 is not a generator because it does not help get all the 1,2,3,4,5,6 etc.. ",60
"8108","139","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes, because it allows you to get the numbers while using the +9.",61
"8109","139","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, because it does let you continue the number.",62
"8110","139","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, because it does not help you get all the numbers.",63
"8165","140","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. Because if you keep going 2 spaces around the wheel at a time, you can get every single number. ",60
"8166","140","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. Because if you go 3 spaces around, you only get 0, 3, 6 or 9, not all of the numbers. ",61
"8167","140","Is 5 a generator under <img src=./images/nonagon_symbol.png style=w idth:14p x;height:14px>? Please explain in words how you got your answer.","","Yes. If you go around 5 spaces at a time, you can get every number. ",62
"8168","140","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. If you go around 6 spaces at a time, you cannot get every number. ",63
"8223","141","Is 2 a generator under +<sub>9</sub>? Please explain in wo rds how  you got your answer.","","No. I don't really remember the generator rules.",60
"8224","141","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes. 3+3+3 would equal 9.",61
"8225","141","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. I cannot explain my answer as I don't really understand the generator rules well.",62
"8226","141","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. I don't understand the rules well enough to say.",63
"8281","142","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px >? Ple ase explain in words how you got your answer.","","Yes, because I can use it to get all of the other numbers. Starting from 2, moving clockwise in intervals of 2 will take me to all of the other numbers.",60
"8282","142","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how  you got  your answer.","","No, because I will only get 3, 6, and 0 moving clockwise in intervals of 3 from 3.",61
"8283","142","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, because I can use it to reach any of the other digits. For example, 5 (9) 5 = 1, 6 (9) 5 = 2, and so on.",62
"8284","142","Is 6 a  generato r under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because when moving clockwise in intervals of 6 from 6, I will only arrive at 3, 0, and 6.",63
"8339","143","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. I really do not understand this part. I got most of them wrong last time and I read the explanation seve ral time s. It wasn't making sense to me. I think it is no because you can't make every number with 2.",60
"8340","143","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I think is this no also because you can't make every number with 3.",61
"8341","143","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I don't think this is either because you can't make every number, but again this part is confusing to me.",62
"8342","143","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I don't think so because I don't think you can make every number.",63
"8397","144","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because no 2 numbers add to 2.",60
"8398","144","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because no 2 numbers get 3.",61
"8399","144","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because 2 and 3 get 5.",62
"8400","144","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because 3 and 3 generate 6",63
"8455","145","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No.You can't use 2 to make 3, 5, or 7 under 9",60
"8456","145","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. YOu can't use 3 to make all of the other numbers under 9. ",61
"8457","145","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes. 5 will work to give you all of the other numbers under 9.  ",62
"8458","145","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. 6 will not work to give you 1 or 2 under 9",63
"8513","146","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I don't think so because 2 cannot produce 1,3 or 5",60
"8514","146","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes.. I think because it can make the other numbers.. like if you did 3+3+3+3+3 that would equal 15 and minus 9 that would be 4.",61
"8515","146","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","hmm now I'm confused. No I don't think it can be because 5 even added together multiple times can-t make 2 if you subtract 9.",62
"8516","146","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes because eventually after adding the number 6 with other numbers and then subtracting 9 from those totals can get all the lower numbers. like 6+4 would be 1 6+5 would be 2 and so on.",63
"8571","147","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I'm no t sure.  I don't understand generators very well in this lesson.",60
"8572","147","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I'm not sure. I don't understand generators very well in this lesson. I don't think so.",61
"8573","147","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No.",62
"8574","147","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No? I'm not sure. I don't understand generators very well in this lesson.",63
"8629","148","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, not sure",60
"8630","148","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, not  sure",61
"8631","148","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, not sure",62
"8632","148","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes , not su re",63
"8687","149","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no but its totally a guess. I dont understand the generator",60
"8688","149","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no but its totally a guess. I dont understand the generator",61
"8689","149","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no but its totally a guess. I dont understand the generator",62
"8690","149","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes I think.. because its a multiple of 3. ",63
"8745","150","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no because there is no way to make all the numbers just using 2?",60
"8746","150","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes because you can make the numbers under 9 with three",61
"8747","150","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No because you cannot make all the numbers with just 5",62
"8748","150","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No it is too high to make all the numbers",63
"8813","151","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, if you start at 2 and move 2 steps, you get 4, 2 more is 6, 8=2(9)2(9)2(9)2 0=2(9)2(9)2(9)2(9)2(9)2(9)2(9)2 1= 13 2(9)2 and so on",80
"8814","151","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, 3 will only produce 3, 6, and 0. 3 doesn't work for 1, 2, 4, 5, 7, and 8.",81
"8815","151","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, 5(9) 5 = 1, 5 (9)5(9)5 = 6 5(9)5(9)5(9)5 = 2, 5(9)5(9)5(9)5(9)5 = 7, 5(9)5(9)5(9)5(9)5(9)5 = 3, 5(9)5(9)5(9)5(9)5(9)5(9)5 = 8, this pattern (adding an additional 5) can produce each of the 9 numbers on the wheel. ",82
"8816","151","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, 6 will produce 2, 3, 5 , 6, 8,  and 0. It cannot be used to produce 1, 4, and 7.",83
